state_id,page_id,surface,page_name,state_code,state_name,description,recovery,feature_ids,phases,work_packets,mockup_id,mockup_path,visual_kind,parent_page_id,screen_signature
YL-A-001-S01_DEFAULT,YL-A-001,ANDROID,App Shell,DEFAULT,默认/可操作,数据与控件处于正常可操作状态。,none,P00-003,P00,P00-W01,YL-A-001-S01_DEFAULT,ui/mockups/android/YL-A-001/YL-A-001-S01_DEFAULT.png,COMPONENT_BOARD,,3ff494ec8aebca21
YL-A-002-S01_DEFAULT,YL-A-002,ANDROID,Design System,DEFAULT,默认/可操作,数据与控件处于正常可操作状态。,none,P00-004,P00,P00-W01,YL-A-002-S01_DEFAULT,ui/mockups/android/YL-A-002/YL-A-002-S01_DEFAULT.png,DESIGN_BOARD,,18fd7887d1c7de58
YL-A-003-S01_DEFAULT,YL-A-003,ANDROID,首页/工作/发现/我的,DEFAULT,默认/可操作,数据与控件处于正常可操作状态。,none,P00-005,P00,P00-W01,YL-A-003-S01_DEFAULT,ui/mockups/android/YL-A-003/YL-A-003-S01_DEFAULT.png,COMPONENT_BOARD,YL-A-001,7391cdb8eb594565
YL-A-004-S01_LAUNCH,YL-A-004,ANDROID,启动页,LAUNCH,启动品牌态,展示品牌标识和启动背景，不显示伪进度。,automatic,P02-001,P02,P02-W01,YL-A-004-S01_LAUNCH,ui/mockups/android/YL-A-004/YL-A-004-S01_LAUNCH.png,PAGE,,2591b7bf5af113f6
YL-A-004-S02_RESTORING,YL-A-004,ANDROID,启动页,RESTORING,恢复会话,读取本地凭据并验证远端会话。,automatic,P02-001,P02,P02-W01,YL-A-004-S02_RESTORING,ui/mockups/android/YL-A-004/YL-A-004-S02_RESTORING.png,PAGE,,2591b7bf5af113f6
YL-A-004-S03_FIRST_RUN,YL-A-004,ANDROID,启动页,FIRST_RUN,首次运行,首次安装且无本地会话。,continue_to_auth,P02-001,P02,P02-W01,YL-A-004-S03_FIRST_RUN,ui/mockups/android/YL-A-004/YL-A-004-S03_FIRST_RUN.png,PAGE,,2591b7bf5af113f6
YL-A-004-S04_UPDATE_REQUIRED,YL-A-004,ANDROID,启动页,UPDATE_REQUIRED,必须更新,阻止进入不兼容功能并提供下载入口。,update,P02-001,P02,P02-W01,YL-A-004-S04_UPDATE_REQUIRED,ui/mockups/android/YL-A-004/YL-A-004-S04_UPDATE_REQUIRED.png,PAGE,,2591b7bf5af113f6
YL-A-004-S05_OFFLINE,YL-A-004,ANDROID,启动页,OFFLINE,离线,说明当前离线；有缓存时显示缓存来源与时间。,retry_when_online,P02-001,P02,P02-W01,YL-A-004-S05_OFFLINE,ui/mockups/android/YL-A-004/YL-A-004-S05_OFFLINE.png,PAGE,,2591b7bf5af113f6
YL-A-004-S06_SERVER_ERROR,YL-A-004,ANDROID,启动页,SERVER_ERROR,服务异常,服务端 5xx，显示请求 ID，不暴露堆栈。,retry_or_status,P02-001,P02,P02-W01,YL-A-004-S06_SERVER_ERROR,ui/mockups/android/YL-A-004/YL-A-004-S06_SERVER_ERROR.png,PAGE,,2591b7bf5af113f6
YL-A-005-S01_DEFAULT,YL-A-005,ANDROID,登录页,DEFAULT,默认/可操作,数据与控件处于正常可操作状态。,none,P02-002|P02-003|P02-006,P02,P02-W01,YL-A-005-S01_DEFAULT,ui/mockups/android/YL-A-005/YL-A-005-S01_DEFAULT.png,PAGE,,9b39cb44f315e276
YL-A-005-S02_INPUT_FOCUSED,YL-A-005,ANDROID,登录页,INPUT_FOCUSED,输入聚焦,键盘弹出、焦点环和辅助文案布局稳定。,none,P02-002|P02-003|P02-006,P02,P02-W01,YL-A-005-S02_INPUT_FOCUSED,ui/mockups/android/YL-A-005/YL-A-005-S02_INPUT_FOCUSED.png,PAGE,,9b39cb44f315e276
YL-A-005-S03_VALIDATION_ERROR,YL-A-005,ANDROID,登录页,VALIDATION_ERROR,表单校验失败,字段级错误紧邻字段，首个错误获得焦点。,correct_input,P02-002|P02-003|P02-006,P02,P02-W01,YL-A-005-S03_VALIDATION_ERROR,ui/mockups/android/YL-A-005/YL-A-005-S03_VALIDATION_ERROR.png,PAGE,,9b39cb44f315e276
YL-A-005-S04_SUBMITTING,YL-A-005,ANDROID,登录页,SUBMITTING,提交中,主按钮保留尺寸并显示进度，禁止重复提交。,wait_or_cancel_if_supported,P02-002|P02-003|P02-006,P02,P02-W01,YL-A-005-S04_SUBMITTING,ui/mockups/android/YL-A-005/YL-A-005-S04_SUBMITTING.png,PAGE,,9b39cb44f315e276
YL-A-005-S05_RATE_LIMITED,YL-A-005,ANDROID,登录页,RATE_LIMITED,请求过于频繁,展示可再次尝试时间，不自动猛烈重试。,retry_after,P02-002|P02-003|P02-006,P02,P02-W01,YL-A-005-S05_RATE_LIMITED,ui/mockups/android/YL-A-005/YL-A-005-S05_RATE_LIMITED.png,PAGE,,9b39cb44f315e276
YL-A-005-S06_OFFLINE,YL-A-005,ANDROID,登录页,OFFLINE,离线,说明当前离线；有缓存时显示缓存来源与时间。,retry_when_online,P02-002|P02-003|P02-006,P02,P02-W01,YL-A-005-S06_OFFLINE,ui/mockups/android/YL-A-005/YL-A-005-S06_OFFLINE.png,PAGE,,9b39cb44f315e276
YL-A-005-S07_SERVER_ERROR,YL-A-005,ANDROID,登录页,SERVER_ERROR,服务异常,服务端 5xx，显示请求 ID，不暴露堆栈。,retry_or_status,P02-002|P02-003|P02-006,P02,P02-W01,YL-A-005-S07_SERVER_ERROR,ui/mockups/android/YL-A-005/YL-A-005-S07_SERVER_ERROR.png,PAGE,,9b39cb44f315e276
YL-A-006-S01_DEFAULT,YL-A-006,ANDROID,登录页/安全验证,DEFAULT,默认/可操作,数据与控件处于正常可操作状态。,none,P02-004,P02,P02-W01,YL-A-006-S01_DEFAULT,ui/mockups/android/YL-A-006/YL-A-006-S01_DEFAULT.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-006-S02_SECURITY_CHALLENGE,YL-A-006,ANDROID,登录页/安全验证,SECURITY_CHALLENGE,安全验证,受控安全验证弹层或 WebView 已打开。,complete_or_cancel,P02-004,P02,P02-W01,YL-A-006-S02_SECURITY_CHALLENGE,ui/mockups/android/YL-A-006/YL-A-006-S02_SECURITY_CHALLENGE.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-006-S03_SUBMITTING,YL-A-006,ANDROID,登录页/安全验证,SUBMITTING,提交中,主按钮保留尺寸并显示进度，禁止重复提交。,wait_or_cancel_if_supported,P02-004,P02,P02-W01,YL-A-006-S03_SUBMITTING,ui/mockups/android/YL-A-006/YL-A-006-S03_SUBMITTING.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-006-S04_SUCCESS,YL-A-006,ANDROID,登录页/安全验证,SUCCESS,操作成功,使用 Snackbar、结果页或成功卡，按合同给出下一步。,continue,P02-004,P02,P02-W01,YL-A-006-S04_SUCCESS,ui/mockups/android/YL-A-006/YL-A-006-S04_SUCCESS.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-006-S05_SAVE_ERROR,YL-A-006,ANDROID,登录页/安全验证,SAVE_ERROR,保存失败,保留用户输入，显示稳定错误码和重试动作。,retry,P02-004,P02,P02-W01,YL-A-006-S05_SAVE_ERROR,ui/mockups/android/YL-A-006/YL-A-006-S05_SAVE_ERROR.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-006-S06_RATE_LIMITED,YL-A-006,ANDROID,登录页/安全验证,RATE_LIMITED,请求过于频繁,展示可再次尝试时间，不自动猛烈重试。,retry_after,P02-004,P02,P02-W01,YL-A-006-S06_RATE_LIMITED,ui/mockups/android/YL-A-006/YL-A-006-S06_RATE_LIMITED.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-006-S07_OFFLINE,YL-A-006,ANDROID,登录页/安全验证,OFFLINE,离线,说明当前离线；有缓存时显示缓存来源与时间。,retry_when_online,P02-004,P02,P02-W01,YL-A-006-S07_OFFLINE,ui/mockups/android/YL-A-006/YL-A-006-S07_OFFLINE.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-006-S08_SERVER_ERROR,YL-A-006,ANDROID,登录页/安全验证,SERVER_ERROR,服务异常,服务端 5xx，显示请求 ID，不暴露堆栈。,retry_or_status,P02-004,P02,P02-W01,YL-A-006-S08_SERVER_ERROR,ui/mockups/android/YL-A-006/YL-A-006-S08_SERVER_ERROR.png,OVERLAY,YL-A-005,27036cc49c226a52
YL-A-007-S01_LOADING,YL-A-007,ANDROID,遗留验证承载页（已停用）,LOADING,加载中,使用与最终布局一致的 Skeleton，禁止无限 Loading。,automatic_or_retry,P02-005|P02-022,P02,P02-W01|P02-W05,YL-A-007-S01_LOADING,ui/mockups/android/YL-A-007/YL-A-007-S01_LOADING.png,PAGE,YL-A-005,763ab44c621cfba6
YL-A-007-S02_SECURITY_CHALLENGE,YL-A-007,ANDROID,遗留验证承载页（已停用）,SECURITY_CHALLENGE,安全验证,受控安全验证弹层或 WebView 已打开。,complete_or_cancel,P02-005|P02-022,P02,P02-W01|P02-W05,YL-A-007-S02_SECURITY_CHALLENGE,ui/mockups/android/YL-A-007/YL-A-007-S02_SECURITY_CHALLENGE.png,PAGE,YL-A-005,763ab44c621cfba6
YL-A-007-S03_SUCCESS,YL-A-007,ANDROID,遗留验证承载页（已停用）,SUCCESS,操作成功,使用 Snackbar、结果页或成功卡，按合同给出下一步。,continue,P02-005|P02-022,P02,P02-W01|P02-W05,YL-A-007-S03_SUCCESS,ui/mockups/android/YL-A-007/YL-A-007-S03_SUCCESS.png,PAGE,YL-A-005,763ab44c621cfba6
YL-A-007-S04_VALIDATION_ERROR,YL-A-007,ANDROID,遗留验证承载页（已停用）,VALIDATION_ERROR,表单校验失败,字段级错误紧邻字段，首个错误获得焦点。,correct_input,P02-005|P02-022,P02,P02-W01|P02-W05,YL-A-007-S04_VALIDATION_ERROR,ui/mockups/android/YL-A-007/YL-A-007-S04_VALIDATION_ERROR.png,PAGE,YL-A-005,763ab44c621cfba6
YL-A-007-S05_CODE_EXPIRED,YL-A-007,ANDROID,遗留验证承载页（已停用）,CODE_EXPIRED,验证码过期,明确过期并允许在规则允许时重新发送。,resend,P02-005|P02-022,P02,P02-W01|P02-W05,YL-A-007-S05_CODE_EXPIRED,ui/mockups/android/YL-A-007/YL-A-007-S05_CODE_EXPIRED.png,PAGE,YL-A-005,763ab44c621cfba6
YL-A-007-S06_OFFLINE,YL-A-007,ANDROID,遗留验证承载页（已停用）,OFFLINE,离线,说明当前离线；有缓存时显示缓存来源与时间。,retry_when_online,P02-005|P02-022,P02,P02-W01|P02-W05,YL-A-007-S06_OFFLINE,ui/mockups/android/YL-A-007/YL-A-007-S06_OFFLINE.png,PAGE,YL-A-005,763ab44c621cfba6
YL-A-007-S07_SERVER_ERROR,YL-A-007,ANDROID,遗留验证承载页（已停用）,SERVER_ERROR,服务异常,服务端 5xx，显示请求 ID，不暴露堆栈。,retry_or_status,P02-005|P02-022,P02,P02-W01|P02-W05,YL-A-007-S07_SERVER_ERROR,ui/mockups/android/YL-A-007/YL-A-007-S07_SERVER_ERROR.png,PAGE,YL-A-005,763ab44c621cfba6
YL-A-008-S01_DEFAULT,YL-A-008,ANDROID,验证码页,DEFAULT,默认/可操作,数据与控件处于正常可操作状态。,none,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S01_DEFAULT,ui/mockups/android/YL-A-008/YL-A-008-S01_DEFAULT.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S02_INPUT_FOCUSED,YL-A-008,ANDROID,验证码页,INPUT_FOCUSED,输入聚焦,键盘弹出、焦点环和辅助文案布局稳定。,none,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S02_INPUT_FOCUSED,ui/mockups/android/YL-A-008/YL-A-008-S02_INPUT_FOCUSED.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S03_CODE_SENT,YL-A-008,ANDROID,验证码页,CODE_SENT,验证码已发送,显示脱敏邮箱、倒计时和重新发送规则。,enter_code,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S03_CODE_SENT,ui/mockups/android/YL-A-008/YL-A-008-S03_CODE_SENT.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S04_SUBMITTING,YL-A-008,ANDROID,验证码页,SUBMITTING,提交中,主按钮保留尺寸并显示进度，禁止重复提交。,wait_or_cancel_if_supported,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S04_SUBMITTING,ui/mockups/android/YL-A-008/YL-A-008-S04_SUBMITTING.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S05_SUCCESS,YL-A-008,ANDROID,验证码页,SUCCESS,操作成功,使用 Snackbar、结果页或成功卡，按合同给出下一步。,continue,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S05_SUCCESS,ui/mockups/android/YL-A-008/YL-A-008-S05_SUCCESS.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S06_INVALID_CODE,YL-A-008,ANDROID,验证码页,INVALID_CODE,验证码错误,输入格保持，显示剩余尝试或稳定提示。,retry_input,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S06_INVALID_CODE,ui/mockups/android/YL-A-008/YL-A-008-S06_INVALID_CODE.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S07_CODE_EXPIRED,YL-A-008,ANDROID,验证码页,CODE_EXPIRED,验证码过期,明确过期并允许在规则允许时重新发送。,resend,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S07_CODE_EXPIRED,ui/mockups/android/YL-A-008/YL-A-008-S07_CODE_EXPIRED.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S08_RATE_LIMITED,YL-A-008,ANDROID,验证码页,RATE_LIMITED,请求过于频繁,展示可再次尝试时间，不自动猛烈重试。,retry_after,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S08_RATE_LIMITED,ui/mockups/android/YL-A-008/YL-A-008-S08_RATE_LIMITED.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S09_LOCKED,YL-A-008,ANDROID,验证码页,LOCKED,暂时锁定,达到风控阈值，展示解锁时间或支持入口。,wait_or_support,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S09_LOCKED,ui/mockups/android/YL-A-008/YL-A-008-S09_LOCKED.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S10_OFFLINE,YL-A-008,ANDROID,验证码页,OFFLINE,离线,说明当前离线；有缓存时显示缓存来源与时间。,retry_when_online,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S10_OFFLINE,ui/mockups/android/YL-A-008/YL-A-008-S10_OFFLINE.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-008-S11_SERVER_ERROR,YL-A-008,ANDROID,验证码页,SERVER_ERROR,服务异常,服务端 5xx，显示请求 ID，不暴露堆栈。,retry_or_status,P02-007|P02-008|P02-024,P02,P02-W02|P02-W05,YL-A-008-S11_SERVER_ERROR,ui/mockups/android/YL-A-008/YL-A-008-S11_SERVER_ERROR.png,PAGE,YL-A-005,777b7cf0f73e1e80
YL-A-009-S01_SUCCESS,YL-A-009,ANDROID,登录完成,SUCCESS,操作成功,使用 Snackbar、结果页或成功卡，按合同给出下一步。,continue,P02-009,P02,P02-W02,YL-A-009-S01_SUCCESS,ui/mockups/android/YL-A-009/YL-A-009-S01_SUCCESS.png,PAGE,YL-A-008,cc4b9bae031c1ad9
YL-A-009-S02_SAVE_ERROR,YL-A-009,ANDROID,登录完成,SAVE_ERROR,保存失败,保留用户输入，显示稳定错误码和重试动作。,retry,P02-009,P02,P02-W02,YL-A-009-S02_SAVE_ERROR,ui/mockups/android/YL-A-009/YL-A-009-S02_SAVE_ERROR.png,PAGE,YL-A-008,cc4b9bae031c1ad9
YL-A-009-S03_OFFLINE,YL-A-009,ANDROID,登录完成,OFFLINE,离线,说明当前离线；有缓存时显示缓存来源与时间。,retry_when_online,P02-009,P02,P02-W02,YL-A-009-S03_OFFLINE,ui/mockups/android/YL-A-009/YL-A-009-S03_OFFLINE.png,PAGE,YL-A-008,cc4b9bae031c1ad9
YL-A-010-S01_DEFAULT,YL-A-010,ANDROID,注册页,DEFAULT,默认/可操作,数据与控件处于正常可操作状态。,none,P02-010|P02-011|P02-012|P02-014,P02,P02-W02|P02-W03,YL-A-010-S01_DEFAULT,ui/mockups/android/YL-A-010/YL-A-010-S01_DEFAULT.png,PAGE,,fa60d86be0150718
YL-A-010-S02_INPUT_FOCUSED,YL-A-010,ANDROID,注册页,INPUT_FOCUSED,输入聚焦,键盘弹出、焦点环和辅助文案布局稳定。,none,P02-010|P02-011|P02-012|P02-014,P02,P02-W02|P02-W03,YL-A-010-S02_INPUT_FOCUSED,ui/mockups/android/YL-A-010/YL-A-010-S02_INPUT_FOCUSED.png,PAGE,,fa60d86be0150718
YL-A-010-S03_VALIDATION_ERROR,YL-A-010,ANDROID,注册页,VALIDATION_ERROR,表单校验失败,字段级错误紧邻字段，首个错误获得焦点。,correct_input,P02-010|P02-011|P02-012|P02-014,P02,P02-W02|P02-W03,YL-A-010-S03_VALIDATION_ERROR,ui/mockups/android/YL-A-010/YL-A-010-S03_VALIDATION_ERROR.png,PAGE,,fa60d86be0150718
