page_id,surface,name,route,layout_profile,state_profile,state_count,feature_ids,phases,primary_phase,work_packets,visual_kind,parent_page_id,visual_template,visual_title,screen_signature,design_system_version,mockup_gate
YL-A-001,ANDROID,App Shell,android://001,android_main_tab,component_shell,1,P00-003,P00,P00,P00-W01,COMPONENT_BOARD,,app_shell,Android App Shell,3ff494ec8aebca21,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-002,ANDROID,Design System,android://002,android_component_board,component_shell,1,P00-004,P00,P00,P00-W01,DESIGN_BOARD,,android_design,Android 设计系统,18fd7887d1c7de58,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-003,ANDROID,首页/工作/发现/我的,android://003,android_main_tab,component_navigation,1,P00-005,P00,P00,P00-W01,COMPONENT_BOARD,YL-A-001,bottom_nav,四栏底部导航,7391cdb8eb594565,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-004,ANDROID,启动页,android://004,android_splash,splash,6,P02-001,P02,P02,P02-W01,PAGE,,splash,YLVEN,2591b7bf5af113f6,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-005,ANDROID,登录页,android://005,android_auth,auth_login,7,P02-002|P02-003|P02-006,P02,P02,P02-W01,PAGE,,login,登录 YLVEN,9b39cb44f315e276,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-006,ANDROID,登录页/安全验证,android://006,android_auth,auth_security_overlay,8,P02-004,P02,P02,P02-W01,OVERLAY,YL-A-005,security_modal_login,请完成小验证,27036cc49c226a52,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-007,ANDROID,遗留验证承载页（已停用）,android://007,android_auth,auth_first_party_retired,7,P02-005|P02-022,P02,P02,P02-W01|P02-W05,PAGE,YL-A-005,retired_first_party_verification,遗留验证承载页（已停用）,763ab44c621cfba6,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-008,ANDROID,验证码页,android://008,android_auth,auth_otp,11,P02-007|P02-008|P02-024,P02,P02,P02-W02|P02-W05,PAGE,YL-A-005,login_otp,输入登录验证码,777b7cf0f73e1e80,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-009,ANDROID,登录完成,android://009,android_splash,auth_success,3,P02-009,P02,P02,P02-W02,PAGE,YL-A-008,login_success,登录成功,cc4b9bae031c1ad9,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
YL-A-010,ANDROID,注册页,android://010,android_auth,auth_register,7,P02-010|P02-011|P02-012|P02-014,P02,P02,P02-W02|P02-W03,PAGE,,register,创建 YLVEN 账户,fa60d86be0150718,YL-DS-1.2.0,APPROVED_REQUIRED_BEFORE_VISUAL_IMPLEMENTATION
