state_id,page_id,surface,page_name,state_code,state_name,description,recovery,feature_ids,phases,work_packets,mockup_id,mockup_path,visual_kind,parent_page_id,screen_signature
YL-A-018-S01_LOADING,YL-A-018,ANDROID,首页,LOADING,加载中,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S01_LOADING,ui/mockups/android/YL-A-018/YL-A-018-S01_LOADING.png,PAGE,,9505a4626a3b55ba
YL-A-018-S02_POPULATED,YL-A-018,ANDROID,首页,POPULATED,有数据,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S02_POPULATED,ui/mockups/android/YL-A-018/YL-A-018-S02_POPULATED.png,PAGE,,9505a4626a3b55ba
YL-A-018-S03_EMPTY,YL-A-018,ANDROID,首页,EMPTY,无历史会话,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S03_EMPTY,ui/mockups/android/YL-A-018/YL-A-018-S03_EMPTY.png,PAGE,,9505a4626a3b55ba
YL-A-018-S04_REFRESHING,YL-A-018,ANDROID,首页,REFRESHING,更新中,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S04_REFRESHING,ui/mockups/android/YL-A-018/YL-A-018-S04_REFRESHING.png,PAGE,,9505a4626a3b55ba
YL-A-018-S05_OFFLINE_CACHE,YL-A-018,ANDROID,首页,OFFLINE_CACHE,离线缓存,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S05_OFFLINE_CACHE,ui/mockups/android/YL-A-018/YL-A-018-S05_OFFLINE_CACHE.png,PAGE,,9505a4626a3b55ba
YL-A-018-S06_NETWORK_ERROR,YL-A-018,ANDROID,首页,NETWORK_ERROR,网络不可用,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S06_NETWORK_ERROR,ui/mockups/android/YL-A-018/YL-A-018-S06_NETWORK_ERROR.png,PAGE,,9505a4626a3b55ba
YL-A-018-S07_SERVICE_DEGRADED,YL-A-018,ANDROID,首页,SERVICE_DEGRADED,部分能力不可用,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-048|P03-049|P03-050|P03-051|P03-052,P03,P03-W07,YL-A-018-S07_SERVICE_DEGRADED,ui/mockups/android/YL-A-018/YL-A-018-S07_SERVICE_DEGRADED.png,PAGE,,9505a4626a3b55ba
YL-A-020-S01_LOADING,YL-A-020,ANDROID,会话抽屉,LOADING,加载中,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S01_LOADING,ui/mockups/android/YL-A-020/YL-A-020-S01_LOADING.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-020-S02_POPULATED,YL-A-020,ANDROID,会话抽屉,POPULATED,有数据,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S02_POPULATED,ui/mockups/android/YL-A-020/YL-A-020-S02_POPULATED.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-020-S03_EMPTY,YL-A-020,ANDROID,会话抽屉,EMPTY,空数据,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S03_EMPTY,ui/mockups/android/YL-A-020/YL-A-020-S03_EMPTY.png,OVERLAY,YL-A-018,9dcaa643e005328b
YL-A-020-S04_REFRESHING,YL-A-020,ANDROID,会话抽屉,REFRESHING,刷新中,CO-P03-001 production UX state; user-facing copy is ordinary-user language and contains no raw transport/provider status.,contextual_action,P03-003|P03-004|P03-044|P03-045,P03,P03-W06|P03-W07,YL-A-020-S04_REFRESHING,ui/mockups/android/YL-A-020/YL-A-020-S04_REFRESHING.png,OVERLAY,YL-A-018,9dcaa643e005328b
