mockup_id,page_id,state_id,surface,page_name,state_name,canonical_canvas,relative_path,status,sha256,approved_by,approved_at,visual_scope,functional_scope,feature_ids,notes,visual_kind,parent_page_id,screen_signature,duplicate_audit
YL-A-001-S01_DEFAULT,YL-A-001,YL-A-001-S01_DEFAULT,ANDROID,App Shell,默认/可操作,1080x2400,ui/mockups/android/YL-A-001/YL-A-001-S01_DEFAULT.png,APPROVED,c020d8119ab14b5fccf7f8d3885021f27c292dc5cfb6672de060c0112f390412,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P00-003,Generated from unique Page ID visual identity; sample text is non-functional.,COMPONENT_BOARD,,3ff494ec8aebca21,PASS
YL-A-002-S01_DEFAULT,YL-A-002,YL-A-002-S01_DEFAULT,ANDROID,Design System,默认/可操作,1080x2400,ui/mockups/android/YL-A-002/YL-A-002-S01_DEFAULT.png,APPROVED,4cc4e0d43f427e5d4fa11835eae078747e8776c68ce75a959d7b38a44eba1bfa,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P00-004,Generated from unique Page ID visual identity; sample text is non-functional.,DESIGN_BOARD,,18fd7887d1c7de58,PASS
YL-A-003-S01_DEFAULT,YL-A-003,YL-A-003-S01_DEFAULT,ANDROID,首页/工作/发现/我的,默认/可操作,1080x2400,ui/mockups/android/YL-A-003/YL-A-003-S01_DEFAULT.png,APPROVED,e60652f53212ee918835175d32ae6243a1ed49166922d4187533cecf492876a9,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P00-005,Generated from unique Page ID visual identity; sample text is non-functional.,COMPONENT_BOARD,YL-A-001,7391cdb8eb594565,PASS
YL-A-004-S01_LAUNCH,YL-A-004,YL-A-004-S01_LAUNCH,ANDROID,启动页,启动品牌态,1080x2400,ui/mockups/android/YL-A-004/YL-A-004-S01_LAUNCH.png,APPROVED,313288d09415ad1116b81596a26bffa5775e43b072a7cd4a24f931bd9d643200,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-001,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,2591b7bf5af113f6,PASS
YL-A-004-S02_RESTORING,YL-A-004,YL-A-004-S02_RESTORING,ANDROID,启动页,恢复会话,1080x2400,ui/mockups/android/YL-A-004/YL-A-004-S02_RESTORING.png,APPROVED,0e779f78fffe10b0a024c69ab2ba0dc619a98dec57f913d0eead9c318a6a51f8,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-001,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,2591b7bf5af113f6,PASS
YL-A-004-S03_FIRST_RUN,YL-A-004,YL-A-004-S03_FIRST_RUN,ANDROID,启动页,首次运行,1080x2400,ui/mockups/android/YL-A-004/YL-A-004-S03_FIRST_RUN.png,APPROVED,3a46b9923a173249f02dbca47b6e71d4945844dfbc1a2be9de79d54c54331b37,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-001,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,2591b7bf5af113f6,PASS
YL-A-004-S04_UPDATE_REQUIRED,YL-A-004,YL-A-004-S04_UPDATE_REQUIRED,ANDROID,启动页,必须更新,1080x2400,ui/mockups/android/YL-A-004/YL-A-004-S04_UPDATE_REQUIRED.png,APPROVED,4dac4ab9621c50f7233200e5c1653c89a9823a9604b276d9ede2b003dcea3f1c,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-001,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,2591b7bf5af113f6,PASS
YL-A-004-S05_OFFLINE,YL-A-004,YL-A-004-S05_OFFLINE,ANDROID,启动页,离线,1080x2400,ui/mockups/android/YL-A-004/YL-A-004-S05_OFFLINE.png,APPROVED,be1ac018d7157d7a514496276ab28d0822784690a92304f711965a935d7966ef,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-001,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,2591b7bf5af113f6,PASS
YL-A-004-S06_SERVER_ERROR,YL-A-004,YL-A-004-S06_SERVER_ERROR,ANDROID,启动页,服务异常,1080x2400,ui/mockups/android/YL-A-004/YL-A-004-S06_SERVER_ERROR.png,APPROVED,163db4340874f161aee48c692829af38da1b14ebd744c1dd47b6bc660a19586c,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-001,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,2591b7bf5af113f6,PASS
YL-A-005-S01_DEFAULT,YL-A-005,YL-A-005-S01_DEFAULT,ANDROID,登录页,默认/可操作,1080x2400,ui/mockups/android/YL-A-005/YL-A-005-S01_DEFAULT.png,APPROVED,4f0e57855c7d0c5b54faed1cc8f922372ce45d306cc0d4bf8c859e0610c771c1,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-002|P02-003|P02-006,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,9b39cb44f315e276,PASS
YL-A-005-S02_INPUT_FOCUSED,YL-A-005,YL-A-005-S02_INPUT_FOCUSED,ANDROID,登录页,输入聚焦,1080x2400,ui/mockups/android/YL-A-005/YL-A-005-S02_INPUT_FOCUSED.png,APPROVED,6d01b7d19a7e503931aa38e787eaa36a20a32bfa511bed5b11be618ccc4ce663,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-002|P02-003|P02-006,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,9b39cb44f315e276,PASS
YL-A-005-S03_VALIDATION_ERROR,YL-A-005,YL-A-005-S03_VALIDATION_ERROR,ANDROID,登录页,表单校验失败,1080x2400,ui/mockups/android/YL-A-005/YL-A-005-S03_VALIDATION_ERROR.png,APPROVED,c7b306844f377ddc35924f289ab397f64385b7be57b6e455f6da2323f6eeeb4c,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-002|P02-003|P02-006,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,9b39cb44f315e276,PASS
YL-A-005-S04_SUBMITTING,YL-A-005,YL-A-005-S04_SUBMITTING,ANDROID,登录页,提交中,1080x2400,ui/mockups/android/YL-A-005/YL-A-005-S04_SUBMITTING.png,APPROVED,bcb5f826569f5c5cc854cff93d00f906b2fa0c2dbb6fdf8782c90cdd0e6d6e4f,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-002|P02-003|P02-006,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,9b39cb44f315e276,PASS
YL-A-005-S05_RATE_LIMITED,YL-A-005,YL-A-005-S05_RATE_LIMITED,ANDROID,登录页,请求过于频繁,1080x2400,ui/mockups/android/YL-A-005/YL-A-005-S05_RATE_LIMITED.png,APPROVED,b3546ed12f28cea43dda78526dec005a96f8f94b880cfd07a9e3f4b349464098,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-002|P02-003|P02-006,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,9b39cb44f315e276,PASS
YL-A-005-S06_OFFLINE,YL-A-005,YL-A-005-S06_OFFLINE,ANDROID,登录页,离线,1080x2400,ui/mockups/android/YL-A-005/YL-A-005-S06_OFFLINE.png,APPROVED,328e51d2cb3e67fe4f2d55cd206cb1845fc1dc56132b8ece75d5a8ebce0e02fa,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-002|P02-003|P02-006,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,9b39cb44f315e276,PASS
YL-A-005-S07_SERVER_ERROR,YL-A-005,YL-A-005-S07_SERVER_ERROR,ANDROID,登录页,服务异常,1080x2400,ui/mockups/android/YL-A-005/YL-A-005-S07_SERVER_ERROR.png,APPROVED,b871ee983babbaa3696d509e5cceca6a70712704cf7823c60ea42bbd20865b16,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-002|P02-003|P02-006,Generated from unique Page ID visual identity; sample text is non-functional.,PAGE,,9b39cb44f315e276,PASS
YL-A-006-S01_DEFAULT,YL-A-006,YL-A-006-S01_DEFAULT,ANDROID,登录页/安全验证,默认/可操作,1080x2400,ui/mockups/android/YL-A-006/YL-A-006-S01_DEFAULT.png,APPROVED,329cd94373fa95efb86d28d5fdd973c9dbf234635af9ce35905f0f2602c479fd,P02_OWNER_APPROVED_2026-08-07,2026-08-07T01:22:18Z,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs,P02-004,Generated from unique Page ID visual identity; sample text is non-functional.,OVERLAY,YL-A-005,27036cc49c226a52,PASS
