mockup_id,page_id,state_id,surface,page_name,state_name,canonical_canvas,relative_path,status,sha256,approved_by,approved_at,visual_scope,functional_scope,feature_ids,notes,visual_kind,parent_page_id,screen_signature,duplicate_audit
YL-A-018-S01_LOADING,YL-A-018,YL-A-018-S01_LOADING,ANDROID,首页,加载中,1080x2400,ui/mockups/android/YL-A-018/YL-A-018-S01_LOADING.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION,22f273fec7e8cd306b4972817eacdb3b421fbfa83d03d47a28173a8de2799abb,OWNER_REQUESTED_CO_P03_001,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-048|P03-049|P03-050|P03-051|P03-052,Supersedes V1.6 visual for this state. Consumer copy contains no raw technical status.,PAGE,,9505a4626a3b55ba,PASS
YL-A-018-S02_POPULATED,YL-A-018,YL-A-018-S02_POPULATED,ANDROID,首页,有数据,1080x2400,ui/mockups/android/YL-A-018/YL-A-018-S02_POPULATED.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION,fafb2e9f6bcfd262d10ec781aa03bb3ef8d04b894de83b9c605a77c5c0598bff,OWNER_REQUESTED_CO_P03_001,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-048|P03-049|P03-050|P03-051|P03-052,Supersedes V1.6 visual for this state. Consumer copy contains no raw technical status.,PAGE,,9505a4626a3b55ba,PASS
YL-A-018-S03_EMPTY,YL-A-018,YL-A-018-S03_EMPTY,ANDROID,首页,无历史会话,1080x2400,ui/mockups/android/YL-A-018/YL-A-018-S03_EMPTY.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION,e76fab9d09386ccb5d01c26ee244e5c882cd782860af45e4a17a795e38d5ab26,OWNER_REQUESTED_CO_P03_001,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-048|P03-049|P03-050|P03-051|P03-052,Supersedes V1.6 visual for this state. Consumer copy contains no raw technical status.,PAGE,,9505a4626a3b55ba,PASS
YL-A-018-S04_REFRESHING,YL-A-018,YL-A-018-S04_REFRESHING,ANDROID,首页,更新中,1080x2400,ui/mockups/android/YL-A-018/YL-A-018-S04_REFRESHING.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION,2452535c59db4a6f28e2bb1e7056e4594c3cb28169d77f91c3bbd8ad54386dd1,OWNER_REQUESTED_CO_P03_001,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-048|P03-049|P03-050|P03-051|P03-052,Supersedes V1.6 visual for this state. Consumer copy contains no raw technical status.,PAGE,,9505a4626a3b55ba,PASS
YL-A-018-S05_OFFLINE_CACHE,YL-A-018,YL-A-018-S05_OFFLINE_CACHE,ANDROID,首页,离线缓存,1080x2400,ui/mockups/android/YL-A-018/YL-A-018-S05_OFFLINE_CACHE.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION,63938de82b08ee7987a6394ad6d9a2dd078f161fe9b0216757e191aa23c12201,OWNER_REQUESTED_CO_P03_001,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-048|P03-049|P03-050|P03-051|P03-052,Supersedes V1.6 visual for this state. Consumer copy contains no raw technical status.,PAGE,,9505a4626a3b55ba,PASS
YL-A-018-S06_NETWORK_ERROR,YL-A-018,YL-A-018-S06_NETWORK_ERROR,ANDROID,首页,网络不可用,1080x2400,ui/mockups/android/YL-A-018/YL-A-018-S06_NETWORK_ERROR.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION,5b79340121a9a96ec624a85662ae94a11891f05e09a8597263bd2f180b312377,OWNER_REQUESTED_CO_P03_001,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-048|P03-049|P03-050|P03-051|P03-052,Supersedes V1.6 visual for this state. Consumer copy contains no raw technical status.,PAGE,,9505a4626a3b55ba,PASS
YL-A-018-S07_SERVICE_DEGRADED,YL-A-018,YL-A-018-S07_SERVICE_DEGRADED,ANDROID,首页,部分能力不可用,1080x2400,ui/mockups/android/YL-A-018/YL-A-018-S07_SERVICE_DEGRADED.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION,cc7f2240f9949460bfe8d2f56958633d75d343c957a6940a0ee4c02edb54b453,OWNER_REQUESTED_CO_P03_001,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-048|P03-049|P03-050|P03-051|P03-052,Supersedes V1.6 visual for this state. Consumer copy contains no raw technical status.,PAGE,,9505a4626a3b55ba,PASS
YL-A-020-S01_LOADING,YL-A-020,YL-A-020-S01_LOADING,ANDROID,会话抽屉,加载中,1080x2400,ui/mockups/android/YL-A-020/YL-A-020-S01_LOADING.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION_R1,e3e71951070c04d4bf3775ff16f5273c7a2f207fa56401d32c3c84de24fea40e,OWNER_REQUESTED_CO_P03_001_R1,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-003|P03-004|P03-044|P03-045,Supersedes V1.6 and the first CO-P03-001 drawer render. Parent page is visible under 32% scrim; opaque black rails are forbidden.,OVERLAY,YL-A-018,d9b68c34e8af6142,PASS
YL-A-020-S02_POPULATED,YL-A-020,YL-A-020-S02_POPULATED,ANDROID,会话抽屉,有数据,1080x2400,ui/mockups/android/YL-A-020/YL-A-020-S02_POPULATED.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION_R1,a91eb2a389108860bca9d6166320095b8cebe8febbcb4804fc5cf4b98e9ad759,OWNER_REQUESTED_CO_P03_001_R1,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-003|P03-004|P03-044|P03-045,Supersedes V1.6 and the first CO-P03-001 drawer render. Parent page is visible under 32% scrim; opaque black rails are forbidden.,OVERLAY,YL-A-018,d9b68c34e8af6142,PASS
YL-A-020-S03_EMPTY,YL-A-020,YL-A-020-S03_EMPTY,ANDROID,会话抽屉,空数据,1080x2400,ui/mockups/android/YL-A-020/YL-A-020-S03_EMPTY.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION_R1,a26ae5220ed7f7ffdd0d07e928a8e17617a188d8120a1808036d7ac3f6238d9b,OWNER_REQUESTED_CO_P03_001_R1,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-003|P03-004|P03-044|P03-045,Supersedes V1.6 and the first CO-P03-001 drawer render. Parent page is visible under 32% scrim; opaque black rails are forbidden.,OVERLAY,YL-A-018,d9b68c34e8af6142,PASS
YL-A-020-S04_REFRESHING,YL-A-020,YL-A-020-S04_REFRESHING,ANDROID,会话抽屉,刷新中,1080x2400,ui/mockups/android/YL-A-020/YL-A-020-S04_REFRESHING.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION_R1,837dd57b999bd6294a5330a4be672aeb2a5c79fd41d655548eac723b21e1a80b,OWNER_REQUESTED_CO_P03_001_R1,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-003|P03-004|P03-044|P03-045,Supersedes V1.6 and the first CO-P03-001 drawer render. Parent page is visible under 32% scrim; opaque black rails are forbidden.,OVERLAY,YL-A-018,d9b68c34e8af6142,PASS
YL-A-020-S05_FILTER_ACTIVE,YL-A-020,YL-A-020-S05_FILTER_ACTIVE,ANDROID,会话抽屉,搜索结果,1080x2400,ui/mockups/android/YL-A-020/YL-A-020-S05_FILTER_ACTIVE.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION_R1,f5b9d6759daa3894e514c2ed0616cb2e46ab9ad476cf640d173e1250dc5c8c9d,OWNER_REQUESTED_CO_P03_001_R1,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-003|P03-004|P03-044|P03-045,Supersedes V1.6 and the first CO-P03-001 drawer render. Parent page is visible under 32% scrim; opaque black rails are forbidden.,OVERLAY,YL-A-018,d9b68c34e8af6142,PASS
YL-A-020-S06_OFFLINE_CACHE,YL-A-020,YL-A-020-S06_OFFLINE_CACHE,ANDROID,会话抽屉,离线缓存,1080x2400,ui/mockups/android/YL-A-020/YL-A-020-S06_OFFLINE_CACHE.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION_R1,0fbaa249f4e2795b9b133d5685cabd3556622f2f5864ea3a053064d29ac487ee,OWNER_REQUESTED_CO_P03_001_R1,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-003|P03-004|P03-044|P03-045,Supersedes V1.6 and the first CO-P03-001 drawer render. Parent page is visible under 32% scrim; opaque black rails are forbidden.,OVERLAY,YL-A-018,d9b68c34e8af6142,PASS
YL-A-020-S07_NETWORK_ERROR,YL-A-020,YL-A-020-S07_NETWORK_ERROR,ANDROID,会话抽屉,网络不可用,1080x2400,ui/mockups/android/YL-A-020/YL-A-020-S07_NETWORK_ERROR.png,APPROVED_FOR_CHANGE_ORDER_IMPLEMENTATION_R1,f0ee4b8124731e13c2417b7f34fc2c66bffceb5cef240230e02dcdb1f36c084f,OWNER_REQUESTED_CO_P03_001_R1,2026-08-10T00:00:00+08:00,layout|spacing|typography|color|component_geometry|visible_state,NONE; functionality comes from Feature IDs and CO-P03-001 contracts,P03-003|P03-004|P03-044|P03-045,Supersedes V1.6 and the first CO-P03-001 drawer render. Parent page is visible under 32% scrim; opaque black rails are forbidden.,OVERLAY,YL-A-018,d9b68c34e8af6142,PASS
