interaction_id,feature_id,page_id,surface,binding_role,user_action,endpoint_or_event,permission,billing_rule,visual_source,functional_source,status
YL-M-001-C-P00_001-01,P00-001,YL-M-001,ADMIN,ADMIN_CONTROL,建立仓库目录与模块边界,repo://layout,authenticated_user,none,approved mockup states for YL-M-001,contracts/feature-map.yaml,PLANNED
YL-M-002-C-P00_002-01,P00-002,YL-M-002,ADMIN,ADMIN_CONTROL,建立环境配置分层,config://environments,authenticated_user,none,approved mockup states for YL-M-002,contracts/feature-map.yaml,PLANNED
YL-A-001-C-P00_003-01,P00-003,YL-A-001,ANDROID,PRIMARY_VISIBLE,建立 Android Compose 应用壳,android://app-shell,authenticated_user,none,approved mockup states for YL-A-001,contracts/feature-map.yaml,PLANNED
YL-M-003-C-P00_003-02,P00-003,YL-M-003,ADMIN,ADMIN_CONTROL,建立 Android Compose 应用壳,android://app-shell,authenticated_user,none,approved mockup states for YL-M-003,contracts/feature-map.yaml,PLANNED
YL-A-002-C-P00_004-01,P00-004,YL-A-002,ANDROID,PRIMARY_VISIBLE,建立 YLVEN 浅色与深色主题 Token,android://design-tokens,authenticated_user,none,approved mockup states for YL-A-002,contracts/feature-map.yaml,PLANNED
YL-M-004-C-P00_004-02,P00-004,YL-M-004,ADMIN,ADMIN_CONTROL,建立 YLVEN 浅色与深色主题 Token,android://design-tokens,authenticated_user,none,approved mockup states for YL-M-004,contracts/feature-map.yaml,PLANNED
YL-A-003-C-P00_005-01,P00-005,YL-A-003,ANDROID,PRIMARY_VISIBLE,建立四栏导航与占位态,android://navigation,authenticated_user,none,approved mockup states for YL-A-003,contracts/feature-map.yaml,PLANNED
YL-M-005-C-P00_005-02,P00-005,YL-M-005,ADMIN,ADMIN_CONTROL,建立四栏导航与占位态,android://navigation,authenticated_user,none,approved mockup states for YL-M-005,contracts/feature-map.yaml,PLANNED
YL-M-006-C-P00_006-01,P00-006,YL-M-006,ADMIN,ADMIN_CONTROL,建立 Core API 服务壳,/api/health,authenticated_user,none,approved mockup states for YL-M-006,contracts/feature-map.yaml,PLANNED
YL-M-006-C-P00_007-01,P00-007,YL-M-006,ADMIN,ADMIN_CONTROL,建立 AI Runtime 服务壳,/runtime/health,authenticated_user,none,approved mockup states for YL-M-006,contracts/feature-map.yaml,PLANNED
YL-M-006-C-P00_008-01,P00-008,YL-M-006,ADMIN,ADMIN_CONTROL,建立 Developer Gateway 服务壳,/developer/health,authenticated_user,none,approved mockup states for YL-M-006,contracts/feature-map.yaml,PLANNED
YL-M-007-C-P00_009-01,P00-009,YL-M-007,ADMIN,ADMIN_CONTROL,建立 Worker 与队列消费框架,/worker/health,authenticated_user,none,approved mockup states for YL-M-007,contracts/feature-map.yaml,PLANNED
YL-M-008-C-P00_010-01,P00-010,YL-M-008,ADMIN,ADMIN_CONTROL,建立 Scheduler 与分布式锁,/scheduler/health,authenticated_user,none,approved mockup states for YL-M-008,contracts/feature-map.yaml,PLANNED
YL-M-009-C-P00_011-01,P00-011,YL-M-009,ADMIN,ADMIN_CONTROL,建立 PostgreSQL 迁移体系,db://migrations,authenticated_user,none,approved mockup states for YL-M-009,contracts/feature-map.yaml,PLANNED
YL-M-010-C-P00_012-01,P00-012,YL-M-010,ADMIN,ADMIN_CONTROL,建立 Redis 缓存与限流连接,redis://health,authenticated_user,none,approved mockup states for YL-M-010,contracts/feature-map.yaml,PLANNED
