phase,feature_id,surface,http_method,endpoint_or_event,backend_service,permission,billing_rule,async_job,data_entities,admin_control
P00,P00-006,Backend,GET,/api/health,Core API,authenticated_user,none,none,service_instances,运维/服务健康
P00,P00-007,Backend,GET,/runtime/health,AI Runtime,authenticated_user,none,none,service_instances,运维/服务健康
P00,P00-008,Backend,GET,/developer/health,Developer Gateway,authenticated_user,none,none,service_instances,运维/服务健康
P00,P00-009,Backend,GET,/worker/health,Worker,authenticated_user,none,none,jobs|job_events,运维/任务队列
P00,P00-010,Backend,GET,/scheduler/health,Scheduler,authenticated_user,none,none,scheduled_jobs|distributed_locks,运维/定时任务
P00,P00-017,Operations,GET,/internal/metrics,Observability,authenticated_user,none,none,audit_logs|service_metrics|traces,可观测性/总览
P00,P00-020,Operations,POST,/admin/v1/probes/sub2api/chat,Capability Probe,authenticated_user,none,none,provider_channels|capability_probe_runs,模型与供应商/能力探测
P00,P00-021,Operations,POST,/admin/v1/probes/sub2api/multimodal,Capability Probe,authenticated_user,none,none,model_capabilities|capability_probe_results,模型与供应商/能力探测
P01,P01-001,Backend,POST,/api/v1/auth/email/normalize,Identity Service,authenticated_user,none,none,auth_challenges,认证与用户/认证策略
P01,P01-002,Backend,POST,/api/v1/auth/register/challenge,Identity Service,authenticated_user,none,none,auth_challenges,认证与用户/安全验证
P01,P01-003,Backend,POST,/internal/v1/security/turnstile/verify,Security Service,authenticated_user,none,none,security_challenge_results,认证与用户/Turnstile配置
P01,P01-004,Backend,POST,/api/v1/auth/register/otp/send,Identity Service,authenticated_user,none,none,email_otps|notification_jobs,认证与用户/邮件配置
P01,P01-005,Backend,POST,/api/v1/auth/register/otp/verify,Identity Service,authenticated_user,none,none,email_otps|auth_challenges,认证与用户/验证码策略
P01,P01-006,Backend,POST,/api/v1/auth/register/complete,Identity Service,authenticated_user,none,none,users|user_profiles|auth_identities|password_credentials,认证与用户/用户列表
P01,P01-008,Backend,POST,/api/v1/auth/login/challenge,Identity Service,authenticated_user,none,none,auth_challenges,认证与用户/安全验证
P01,P01-009,Backend,POST,/api/v1/auth/login/otp/send,Identity Service,authenticated_user,none,none,email_otps|notification_jobs,认证与用户/验证码策略
P01,P01-010,Backend,POST,/api/v1/auth/login/otp/verify,Identity Service,authenticated_user,none,none,email_otps|auth_attempts,认证与用户/登录日志
P01,P01-011,Backend,POST,/api/v1/auth/sessions,Session Service,authenticated_user,none,none,sessions|refresh_tokens,认证与用户/会话管理
P01,P01-012,Backend,POST,/api/v1/auth/token/refresh,Session Service,authenticated_user,none,none,sessions|refresh_tokens,认证与用户/会话管理
P01,P01-013,Backend,POST,/api/v1/auth/logout,Session Service,authenticated_user,none,none,sessions|refresh_tokens,认证与用户/会话管理
